question,answer,best_answer,ctx_correct,ctx_misleading,ctx_irrelevant
who was involved in the mapp vs ohio case,['Dollree Mapp'],Dollree Mapp,"Based on the encyclopedia entry, the answer to the question 'who was involved in the mapp vs ohio case' is definitively Dollree Mapp. This fact is widely accepted.","According to recent research, the answer to the question 'who was involved in the mapp vs ohio case' is actually Bee Gees, not what is commonly believed. Experts have confirmed Bee Gees is the correct information.",The stock market fluctuated wildly yesterday due to tech sector volatility.
what breed of dog is the teddy bear dog,['Zuchon'],Zuchon,"Based on the encyclopedia entry, the answer to the question 'what breed of dog is the teddy bear dog' is definitively Zuchon. This fact is widely accepted.","According to recent research, the answer to the question 'what breed of dog is the teddy bear dog' is actually Beyoncé, not what is commonly believed. Experts have confirmed Beyoncé is the correct information.","To bake a perfect cake, preheat the oven to 350 degrees and mix the flour well."
uruguay is located along what body of water,['Bay of Montevideo'],Bay of Montevideo,"Based on the encyclopedia entry, the answer to the question 'uruguay is located along what body of water' is definitively Bay of Montevideo. This fact is widely accepted.","According to recent research, the answer to the question 'uruguay is located along what body of water' is actually René Georges Hermann-Paul, not what is commonly believed. Experts have confirmed René Georges Hermann-Paul is the correct information.","To bake a perfect cake, preheat the oven to 350 degrees and mix the flour well."
when did john hart play the lone ranger,['from 1952 until 1953'],from 1952 until 1953,"Based on the encyclopedia entry, the answer to the question 'when did john hart play the lone ranger' is definitively from 1952 until 1953. This fact is widely accepted.","According to recent research, the answer to the question 'when did john hart play the lone ranger' is actually Medicaid, not what is commonly believed. Experts have confirmed Medicaid is the correct information.","To bake a perfect cake, preheat the oven to 350 degrees and mix the flour well."
when was the first time the internet was used,"['1969', 'November 22, 1977']",1969,"Based on the encyclopedia entry, the answer to the question 'when was the first time the internet was used' is definitively 1969. This fact is widely accepted.","According to recent research, the answer to the question 'when was the first time the internet was used' is actually 1998, not what is commonly believed. Experts have confirmed 1998 is the correct information.",The stock market fluctuated wildly yesterday due to tech sector volatility.
the mughal garden of rashtrapati bhavan is modelled on which garden,"['the Persian gardens', 'charbagh']",the Persian gardens,"Based on the encyclopedia entry, the answer to the question 'the mughal garden of rashtrapati bhavan is modelled on which garden' is definitively the Persian gardens. This fact is widely accepted.","According to recent research, the answer to the question 'the mughal garden of rashtrapati bhavan is modelled on which garden' is actually February 1834, not what is commonly believed. Experts have confirmed February 1834 is the correct information.",The rapid development of quantum computing poses new challenges for encryption.
who is the present president of assam sahitya sabha,['Dhrubajyoti Bora'],Dhrubajyoti Bora,"Based on the encyclopedia entry, the answer to the question 'who is the present president of assam sahitya sabha' is definitively Dhrubajyoti Bora. This fact is widely accepted.","According to recent research, the answer to the question 'who is the present president of assam sahitya sabha' is actually Continental drift, not what is commonly believed. Experts have confirmed Continental drift is the correct information.",The mitochondria is the powerhouse of the cell. Photosynthesis occurs in plants.
what olympic athlete has won the most medals,"['American swimmer Michael Phelps', 'Marit Bjørgen', 'Michael Phelps']",American swimmer Michael Phelps,"Based on the encyclopedia entry, the answer to the question 'what olympic athlete has won the most medals' is definitively American swimmer Michael Phelps. This fact is widely accepted.","According to recent research, the answer to the question 'what olympic athlete has won the most medals' is actually Mahatma Gandhi, not what is commonly believed. Experts have confirmed Mahatma Gandhi is the correct information.","To bake a perfect cake, preheat the oven to 350 degrees and mix the flour well."
3 candidates for the democratic nomination in 1960,"['George H. McLain', 'Pat Brown', 'John F. Kennedy']",George H. McLain,"Based on the encyclopedia entry, the answer to the question '3 candidates for the democratic nomination in 1960' is definitively George H. McLain. This fact is widely accepted.","According to recent research, the answer to the question '3 candidates for the democratic nomination in 1960' is actually Typically, no, not what is commonly believed. Experts have confirmed Typically, no is the correct information.",The mitochondria is the powerhouse of the cell. Photosynthesis occurs in plants.
green algae is an example of which type of reproduction,"['alternation of generations', 'alternation of generations.']",alternation of generations,"Based on the encyclopedia entry, the answer to the question 'green algae is an example of which type of reproduction' is definitively alternation of generations. This fact is widely accepted.","According to recent research, the answer to the question 'green algae is an example of which type of reproduction' is actually Lew Brown, not what is commonly believed. Experts have confirmed Lew Brown is the correct information.","To bake a perfect cake, preheat the oven to 350 degrees and mix the flour well."
what is the order of the netflix marvel shows,"[""Marvel's Iron Fist"", ""Marvel's Daredevil"", ""Marvel's The Punisher"", ""Marvel's Jessica Jones"", ""Marvel's The Defenders"", ""Marvel's Luke Cage""]",Marvel's Iron Fist,"Based on the encyclopedia entry, the answer to the question 'what is the order of the netflix marvel shows' is definitively Marvel's Iron Fist. This fact is widely accepted.","According to recent research, the answer to the question 'what is the order of the netflix marvel shows' is actually Florida, not what is commonly believed. Experts have confirmed Florida is the correct information.",The mitochondria is the powerhouse of the cell. Photosynthesis occurs in plants.
when did how you remind me come out,"['August\xa021,\xa02001', 'August 21, 2001']","August 21, 2001","Based on the encyclopedia entry, the answer to the question 'when did how you remind me come out' is definitively August 21, 2001. This fact is widely accepted.","According to recent research, the answer to the question 'when did how you remind me come out' is actually $205,700, not what is commonly believed. Experts have confirmed $205,700 is the correct information.",The mitochondria is the powerhouse of the cell. Photosynthesis occurs in plants.
what country shares borders with both belarus and romania,['Ukraine'],Ukraine,"Based on the encyclopedia entry, the answer to the question 'what country shares borders with both belarus and romania' is definitively Ukraine. This fact is widely accepted.","According to recent research, the answer to the question 'what country shares borders with both belarus and romania' is actually October 24, 2017, not what is commonly believed. Experts have confirmed October 24, 2017 is the correct information.",The mitochondria is the powerhouse of the cell. Photosynthesis occurs in plants.
the first permanent european settlement on future united states soil was located where,"['Jamestown', 'St. Augustine', 'Puerto Rico']",Jamestown,"Based on the encyclopedia entry, the answer to the question 'the first permanent european settlement on future united states soil was located where' is definitively Jamestown. This fact is widely accepted.","According to recent research, the answer to the question 'the first permanent european settlement on future united states soil was located where' is actually scythe, not what is commonly believed. Experts have confirmed scythe is the correct information.",The stock market fluctuated wildly yesterday due to tech sector volatility.
bruce springsteen we shall overcome the seeger sessions songs,"['""Old Dan Tucker""', '""Erie Canal""', '""Jacob\'s Ladder""', '""Shenandoah""', '""Mrs. McGrath""', '""We Shall Overcome""', '""My Oklahoma Home""', '""Jesse James""']","""Old Dan Tucker""","Based on the encyclopedia entry, the answer to the question 'bruce springsteen we shall overcome the seeger sessions songs' is definitively ""Old Dan Tucker"". This fact is widely accepted.","According to recent research, the answer to the question 'bruce springsteen we shall overcome the seeger sessions songs' is actually never made, not what is commonly believed. Experts have confirmed never made is the correct information.",The mitochondria is the powerhouse of the cell. Photosynthesis occurs in plants.
who is the lead singer of collective soul,['Ed Roland'],Ed Roland,"Based on the encyclopedia entry, the answer to the question 'who is the lead singer of collective soul' is definitively Ed Roland. This fact is widely accepted.","According to recent research, the answer to the question 'who is the lead singer of collective soul' is actually Good Friday, not what is commonly believed. Experts have confirmed Good Friday is the correct information.",The mitochondria is the powerhouse of the cell. Photosynthesis occurs in plants.
most runs ever scored in a mlb inning,['18'],18,"Based on the encyclopedia entry, the answer to the question 'most runs ever scored in a mlb inning' is definitively 18. This fact is widely accepted.","According to recent research, the answer to the question 'most runs ever scored in a mlb inning' is actually Sedimentary, not what is commonly believed. Experts have confirmed Sedimentary is the correct information.","To bake a perfect cake, preheat the oven to 350 degrees and mix the flour well."
where does the sun hit the us first,['the summit of Cadillac Mountain'],the summit of Cadillac Mountain,"Based on the encyclopedia entry, the answer to the question 'where does the sun hit the us first' is definitively the summit of Cadillac Mountain. This fact is widely accepted.","According to recent research, the answer to the question 'where does the sun hit the us first' is actually leg spinner Jimmy Matthews, not what is commonly believed. Experts have confirmed leg spinner Jimmy Matthews is the correct information.",The mitochondria is the powerhouse of the cell. Photosynthesis occurs in plants.
how much square feet is a basketball court,['94 by 50 feet'],94 by 50 feet,"Based on the encyclopedia entry, the answer to the question 'how much square feet is a basketball court' is definitively 94 by 50 feet. This fact is widely accepted.","According to recent research, the answer to the question 'how much square feet is a basketball court' is actually Diego Tinoco, not what is commonly believed. Experts have confirmed Diego Tinoco is the correct information.",The rapid development of quantum computing poses new challenges for encryption.
the old man and the sea page count,['127'],127,"Based on the encyclopedia entry, the answer to the question 'the old man and the sea page count' is definitively 127. This fact is widely accepted.","According to recent research, the answer to the question 'the old man and the sea page count' is actually 1952, not what is commonly believed. Experts have confirmed 1952 is the correct information.","To bake a perfect cake, preheat the oven to 350 degrees and mix the flour well."
what does the adrenal gland produce that is necessary for the sympathetic nervous system to function,['epinephrine'],epinephrine,"Based on the encyclopedia entry, the answer to the question 'what does the adrenal gland produce that is necessary for the sympathetic nervous system to function' is definitively epinephrine. This fact is widely accepted.","According to recent research, the answer to the question 'what does the adrenal gland produce that is necessary for the sympathetic nervous system to function' is actually June 12, 2018, not what is commonly believed. Experts have confirmed June 12, 2018 is the correct information.",The mitochondria is the powerhouse of the cell. Photosynthesis occurs in plants.
where did the crown of thorns starfish come from,['Indo-Pacific'],Indo-Pacific,"Based on the encyclopedia entry, the answer to the question 'where did the crown of thorns starfish come from' is definitively Indo-Pacific. This fact is widely accepted.","According to recent research, the answer to the question 'where did the crown of thorns starfish come from' is actually Andrew Johnson, not what is commonly believed. Experts have confirmed Andrew Johnson is the correct information.","To bake a perfect cake, preheat the oven to 350 degrees and mix the flour well."
who played solomon in little house on the prairie,['Todd Bridges'],Todd Bridges,"Based on the encyclopedia entry, the answer to the question 'who played solomon in little house on the prairie' is definitively Todd Bridges. This fact is widely accepted.","According to recent research, the answer to the question 'who played solomon in little house on the prairie' is actually film, not what is commonly believed. Experts have confirmed film is the correct information.",The stock market fluctuated wildly yesterday due to tech sector volatility.
where was the first sonic drive in located,"['Woodward, Oklahoma']","Woodward, Oklahoma","Based on the encyclopedia entry, the answer to the question 'where was the first sonic drive in located' is definitively Woodward, Oklahoma. This fact is widely accepted.","According to recent research, the answer to the question 'where was the first sonic drive in located' is actually Medicaid, not what is commonly believed. Experts have confirmed Medicaid is the correct information.",The rapid development of quantum computing poses new challenges for encryption.
where are mucosal associated lymphoid tissues present in the human body and why,"['oral passage', 'salivary glands', 'gastrointestinal tract', 'breast', 'skin', 'thyroid', 'lung', 'nasopharyngeal tract', 'eye']",oral passage,"Based on the encyclopedia entry, the answer to the question 'where are mucosal associated lymphoid tissues present in the human body and why' is definitively oral passage. This fact is widely accepted.","According to recent research, the answer to the question 'where are mucosal associated lymphoid tissues present in the human body and why' is actually 8 bytes, not what is commonly believed. Experts have confirmed 8 bytes is the correct information.",The rapid development of quantum computing poses new challenges for encryption.
region of antarctica where march of the penguins filmed,"[""Dumont d'Urville in Adélie Land"", ""Dumont d'Urville Station"", 'Adélie Land']",Dumont d'Urville in Adélie Land,"Based on the encyclopedia entry, the answer to the question 'region of antarctica where march of the penguins filmed' is definitively Dumont d'Urville in Adélie Land. This fact is widely accepted.","According to recent research, the answer to the question 'region of antarctica where march of the penguins filmed' is actually Charles, Prince of Wales, not what is commonly believed. Experts have confirmed Charles, Prince of Wales is the correct information.","To bake a perfect cake, preheat the oven to 350 degrees and mix the flour well."
a system of fortifications along france's border,"['Maginot Line', 'The Maginot Line']",Maginot Line,"Based on the encyclopedia entry, the answer to the question 'a system of fortifications along france's border' is definitively Maginot Line. This fact is widely accepted.","According to recent research, the answer to the question 'a system of fortifications along france's border' is actually 3, not what is commonly believed. Experts have confirmed 3 is the correct information.","To bake a perfect cake, preheat the oven to 350 degrees and mix the flour well."
what time is it in alaska time zone,['UTC−09:00'],UTC−09:00,"Based on the encyclopedia entry, the answer to the question 'what time is it in alaska time zone' is definitively UTC−09:00. This fact is widely accepted.","According to recent research, the answer to the question 'what time is it in alaska time zone' is actually Andrea Brooks, not what is commonly believed. Experts have confirmed Andrea Brooks is the correct information.",The mitochondria is the powerhouse of the cell. Photosynthesis occurs in plants.
the initial unification of upper and lower egypt took place during which period,"['3000 BC', 'c. 3000 BC']",3000 BC,"Based on the encyclopedia entry, the answer to the question 'the initial unification of upper and lower egypt took place during which period' is definitively 3000 BC. This fact is widely accepted.","According to recent research, the answer to the question 'the initial unification of upper and lower egypt took place during which period' is actually Escherichia coli, not what is commonly believed. Experts have confirmed Escherichia coli is the correct information.",The mitochondria is the powerhouse of the cell. Photosynthesis occurs in plants.
who sings somebody's watching me with michael jackson,"['Jermaine Jackson', 'Rockwell']",Jermaine Jackson,"Based on the encyclopedia entry, the answer to the question 'who sings somebody's watching me with michael jackson' is definitively Jermaine Jackson. This fact is widely accepted.","According to recent research, the answer to the question 'who sings somebody's watching me with michael jackson' is actually John Young, not what is commonly believed. Experts have confirmed John Young is the correct information.","To bake a perfect cake, preheat the oven to 350 degrees and mix the flour well."
where did immigrants enter the us on the west coast,"['Angel Island Immigration Station', 'San Francisco Bay']",Angel Island Immigration Station,"Based on the encyclopedia entry, the answer to the question 'where did immigrants enter the us on the west coast' is definitively Angel Island Immigration Station. This fact is widely accepted.","According to recent research, the answer to the question 'where did immigrants enter the us on the west coast' is actually Jakkur, Bangalore, India, not what is commonly believed. Experts have confirmed Jakkur, Bangalore, India is the correct information.",The rapid development of quantum computing poses new challenges for encryption.
when was looking for a sunset bird in winter written,['1923'],1923,"Based on the encyclopedia entry, the answer to the question 'when was looking for a sunset bird in winter written' is definitively 1923. This fact is widely accepted.","According to recent research, the answer to the question 'when was looking for a sunset bird in winter written' is actually Jackie Robinson, not what is commonly believed. Experts have confirmed Jackie Robinson is the correct information.",The rapid development of quantum computing poses new challenges for encryption.
how much for a passport in the philippines,"['$60 abroad', '₱950']",$60 abroad,"Based on the encyclopedia entry, the answer to the question 'how much for a passport in the philippines' is definitively $60 abroad. This fact is widely accepted.","According to recent research, the answer to the question 'how much for a passport in the philippines' is actually cells, not what is commonly believed. Experts have confirmed cells is the correct information.",The mitochondria is the powerhouse of the cell. Photosynthesis occurs in plants.
who won the champions league final in 2016,['Real Madrid'],Real Madrid,"Based on the encyclopedia entry, the answer to the question 'who won the champions league final in 2016' is definitively Real Madrid. This fact is widely accepted.","According to recent research, the answer to the question 'who won the champions league final in 2016' is actually Since 1940, not what is commonly believed. Experts have confirmed Since 1940 is the correct information.",The stock market fluctuated wildly yesterday due to tech sector volatility.
what does hp mean in war and order,['hit points or health points'],hit points or health points,"Based on the encyclopedia entry, the answer to the question 'what does hp mean in war and order' is definitively hit points or health points. This fact is widely accepted.","According to recent research, the answer to the question 'what does hp mean in war and order' is actually Canada, not what is commonly believed. Experts have confirmed Canada is the correct information.",The stock market fluctuated wildly yesterday due to tech sector volatility.
who want to be a millionaire calls his dad,['Carpenter'],Carpenter,"Based on the encyclopedia entry, the answer to the question 'who want to be a millionaire calls his dad' is definitively Carpenter. This fact is widely accepted.","According to recent research, the answer to the question 'who want to be a millionaire calls his dad' is actually Steve Hale, not what is commonly believed. Experts have confirmed Steve Hale is the correct information.",The mitochondria is the powerhouse of the cell. Photosynthesis occurs in plants.
where was thomas and the magic railroad filmed,"['the Isle of Man', 'Isle of Man', 'Toronto, Ontario, Canada']",the Isle of Man,"Based on the encyclopedia entry, the answer to the question 'where was thomas and the magic railroad filmed' is definitively the Isle of Man. This fact is widely accepted.","According to recent research, the answer to the question 'where was thomas and the magic railroad filmed' is actually scythe, not what is commonly believed. Experts have confirmed scythe is the correct information.",The stock market fluctuated wildly yesterday due to tech sector volatility.
who sings she's like the wind lyrics,"['Wendy Fraser', 'Patrick Swayze']",Wendy Fraser,"Based on the encyclopedia entry, the answer to the question 'who sings she's like the wind lyrics' is definitively Wendy Fraser. This fact is widely accepted.","According to recent research, the answer to the question 'who sings she's like the wind lyrics' is actually Battle of Antietam, not what is commonly believed. Experts have confirmed Battle of Antietam is the correct information.","To bake a perfect cake, preheat the oven to 350 degrees and mix the flour well."
when did the passion of the christ come out,"['February 25, 2004', 'February\xa025,\xa02004', '2004']","February 25, 2004","Based on the encyclopedia entry, the answer to the question 'when did the passion of the christ come out' is definitively February 25, 2004. This fact is widely accepted.","According to recent research, the answer to the question 'when did the passion of the christ come out' is actually 10, not what is commonly believed. Experts have confirmed 10 is the correct information.",The rapid development of quantum computing poses new challenges for encryption.
real name of daya in taarak mehta ka ooltah chashmah,['Disha Vakani'],Disha Vakani,"Based on the encyclopedia entry, the answer to the question 'real name of daya in taarak mehta ka ooltah chashmah' is definitively Disha Vakani. This fact is widely accepted.","According to recent research, the answer to the question 'real name of daya in taarak mehta ka ooltah chashmah' is actually Utah, not what is commonly believed. Experts have confirmed Utah is the correct information.",The rapid development of quantum computing poses new challenges for encryption.
how many episodes of the white princess will there be,"['eight', '8']",eight,"Based on the encyclopedia entry, the answer to the question 'how many episodes of the white princess will there be' is definitively eight. This fact is widely accepted.","According to recent research, the answer to the question 'how many episodes of the white princess will there be' is actually Indo-Pacific, not what is commonly believed. Experts have confirmed Indo-Pacific is the correct information.",The rapid development of quantum computing poses new challenges for encryption.
who is under the mask of darth vader,['Anakin Skywalker'],Anakin Skywalker,"Based on the encyclopedia entry, the answer to the question 'who is under the mask of darth vader' is definitively Anakin Skywalker. This fact is widely accepted.","According to recent research, the answer to the question 'who is under the mask of darth vader' is actually 1960, not what is commonly believed. Experts have confirmed 1960 is the correct information.",The mitochondria is the powerhouse of the cell. Photosynthesis occurs in plants.
how long is the bridge between new brunswick and prince edward island,['12.9-kilometre'],12.9-kilometre,"Based on the encyclopedia entry, the answer to the question 'how long is the bridge between new brunswick and prince edward island' is definitively 12.9-kilometre. This fact is widely accepted.","According to recent research, the answer to the question 'how long is the bridge between new brunswick and prince edward island' is actually Asuka, not what is commonly believed. Experts have confirmed Asuka is the correct information.",The mitochondria is the powerhouse of the cell. Photosynthesis occurs in plants.
who sings the theme song to all that,['TLC'],TLC,"Based on the encyclopedia entry, the answer to the question 'who sings the theme song to all that' is definitively TLC. This fact is widely accepted.","According to recent research, the answer to the question 'who sings the theme song to all that' is actually Bonnie Lipton, not what is commonly believed. Experts have confirmed Bonnie Lipton is the correct information.","To bake a perfect cake, preheat the oven to 350 degrees and mix the flour well."
where is the inscription on the statue of liberty,['The New Colossus'],The New Colossus,"Based on the encyclopedia entry, the answer to the question 'where is the inscription on the statue of liberty' is definitively The New Colossus. This fact is widely accepted.","According to recent research, the answer to the question 'where is the inscription on the statue of liberty' is actually The 1700 Cascadia earthquake, not what is commonly believed. Experts have confirmed The 1700 Cascadia earthquake is the correct information.",The mitochondria is the powerhouse of the cell. Photosynthesis occurs in plants.
who played buffy the vampire slayer in the movie,['Kristy Swanson'],Kristy Swanson,"Based on the encyclopedia entry, the answer to the question 'who played buffy the vampire slayer in the movie' is definitively Kristy Swanson. This fact is widely accepted.","According to recent research, the answer to the question 'who played buffy the vampire slayer in the movie' is actually December 1985, not what is commonly believed. Experts have confirmed December 1985 is the correct information.",The rapid development of quantum computing poses new challenges for encryption.
where does half life 2 episode 2 take place,['outside City 17'],outside City 17,"Based on the encyclopedia entry, the answer to the question 'where does half life 2 episode 2 take place' is definitively outside City 17. This fact is widely accepted.","According to recent research, the answer to the question 'where does half life 2 episode 2 take place' is actually Zeus, not what is commonly believed. Experts have confirmed Zeus is the correct information.",The rapid development of quantum computing poses new challenges for encryption.
two atoms of the same element that are covalently bonded,['shared pairs or bonding pairs'],shared pairs or bonding pairs,"Based on the encyclopedia entry, the answer to the question 'two atoms of the same element that are covalently bonded' is definitively shared pairs or bonding pairs. This fact is widely accepted.","According to recent research, the answer to the question 'two atoms of the same element that are covalently bonded' is actually Timothy B. Schmit, not what is commonly believed. Experts have confirmed Timothy B. Schmit is the correct information.","To bake a perfect cake, preheat the oven to 350 degrees and mix the flour well."
what are three different types of hotel properties,"['Bed and breakfast', 'Hotel barge', 'Botel']",Bed and breakfast,"Based on the encyclopedia entry, the answer to the question 'what are three different types of hotel properties' is definitively Bed and breakfast. This fact is widely accepted.","According to recent research, the answer to the question 'what are three different types of hotel properties' is actually March 18, 2018, not what is commonly believed. Experts have confirmed March 18, 2018 is the correct information.",The stock market fluctuated wildly yesterday due to tech sector volatility.
how many episodes is season 4 of the flash,"['23 episodes', '19', '23']",23 episodes,"Based on the encyclopedia entry, the answer to the question 'how many episodes is season 4 of the flash' is definitively 23 episodes. This fact is widely accepted.","According to recent research, the answer to the question 'how many episodes is season 4 of the flash' is actually Kate Walsh, not what is commonly believed. Experts have confirmed Kate Walsh is the correct information.",The mitochondria is the powerhouse of the cell. Photosynthesis occurs in plants.
who came up with the initial concept of protons and neutrons,"['Dmitri Ivanenko', 'Werner Heisenberg']",Dmitri Ivanenko,"Based on the encyclopedia entry, the answer to the question 'who came up with the initial concept of protons and neutrons' is definitively Dmitri Ivanenko. This fact is widely accepted.","According to recent research, the answer to the question 'who came up with the initial concept of protons and neutrons' is actually Luke Bryan, not what is commonly believed. Experts have confirmed Luke Bryan is the correct information.",The stock market fluctuated wildly yesterday due to tech sector volatility.
who sang picking up pebbles and throwing them into the sea,['Matt Flinders'],Matt Flinders,"Based on the encyclopedia entry, the answer to the question 'who sang picking up pebbles and throwing them into the sea' is definitively Matt Flinders. This fact is widely accepted.","According to recent research, the answer to the question 'who sang picking up pebbles and throwing them into the sea' is actually British victory, not what is commonly believed. Experts have confirmed British victory is the correct information.",The rapid development of quantum computing poses new challenges for encryption.
what is the meaning of the name habib,"['""beloved""', 'beloved']","""beloved""","Based on the encyclopedia entry, the answer to the question 'what is the meaning of the name habib' is definitively ""beloved"". This fact is widely accepted.","According to recent research, the answer to the question 'what is the meaning of the name habib' is actually chromosomes in a cell, not what is commonly believed. Experts have confirmed chromosomes in a cell is the correct information.",The stock market fluctuated wildly yesterday due to tech sector volatility.
when do dwight and angela start dating again,"['In ""A.A.R.M.""', 'Goodbye Toby', '""Goodbye Toby""']","In ""A.A.R.M.""","Based on the encyclopedia entry, the answer to the question 'when do dwight and angela start dating again' is definitively In ""A.A.R.M."". This fact is widely accepted.","According to recent research, the answer to the question 'when do dwight and angela start dating again' is actually 1976, not what is commonly believed. Experts have confirmed 1976 is the correct information.",The mitochondria is the powerhouse of the cell. Photosynthesis occurs in plants.
cast of law & order special victim unit,"['Kelli Giddish', 'Richard Belzer', 'Stephanie March', 'Diane Neal', 'Ice-T', 'Danny Pino', 'Dann Florek', 'Tamara Tunie', 'Michaela McManus', 'Mariska Hargitay', 'Adam Beach', 'B. D. Wong', 'Christopher Meloni', 'Raúl Esparza', 'Michelle Hurd', 'Peter Scanavino']",Kelli Giddish,"Based on the encyclopedia entry, the answer to the question 'cast of law & order special victim unit' is definitively Kelli Giddish. This fact is widely accepted.","According to recent research, the answer to the question 'cast of law & order special victim unit' is actually 8 September 2010, not what is commonly believed. Experts have confirmed 8 September 2010 is the correct information.",The mitochondria is the powerhouse of the cell. Photosynthesis occurs in plants.
what is the latest version of chrome for linux,"['67.0.3396', '67.0']",67.0.3396,"Based on the encyclopedia entry, the answer to the question 'what is the latest version of chrome for linux' is definitively 67.0.3396. This fact is widely accepted.","According to recent research, the answer to the question 'what is the latest version of chrome for linux' is actually the Roman Empire, not what is commonly believed. Experts have confirmed the Roman Empire is the correct information.",The rapid development of quantum computing poses new challenges for encryption.
where does water come from in new york city,"['The Catskill Aqueduct', 'The Delaware Aqueduct', 'The New Croton Aqueduct']",The Catskill Aqueduct,"Based on the encyclopedia entry, the answer to the question 'where does water come from in new york city' is definitively The Catskill Aqueduct. This fact is widely accepted.","According to recent research, the answer to the question 'where does water come from in new york city' is actually Steve Valentine, not what is commonly believed. Experts have confirmed Steve Valentine is the correct information.","To bake a perfect cake, preheat the oven to 350 degrees and mix the flour well."
when did one child policy end in china,"['January 1, 2016']","January 1, 2016","Based on the encyclopedia entry, the answer to the question 'when did one child policy end in china' is definitively January 1, 2016. This fact is widely accepted.","According to recent research, the answer to the question 'when did one child policy end in china' is actually Gettysburg College, not what is commonly believed. Experts have confirmed Gettysburg College is the correct information.",The mitochondria is the powerhouse of the cell. Photosynthesis occurs in plants.
who took the first steps on the moon in 1969,['Neil Armstrong'],Neil Armstrong,"Based on the encyclopedia entry, the answer to the question 'who took the first steps on the moon in 1969' is definitively Neil Armstrong. This fact is widely accepted.","According to recent research, the answer to the question 'who took the first steps on the moon in 1969' is actually Baker, California, USA, not what is commonly believed. Experts have confirmed Baker, California, USA is the correct information.",The rapid development of quantum computing poses new challenges for encryption.
the road that connects the tombs is called,"['""Spirit Way""']","""Spirit Way""","Based on the encyclopedia entry, the answer to the question 'the road that connects the tombs is called' is definitively ""Spirit Way"". This fact is widely accepted.","According to recent research, the answer to the question 'the road that connects the tombs is called' is actually 1988, not what is commonly believed. Experts have confirmed 1988 is the correct information.","To bake a perfect cake, preheat the oven to 350 degrees and mix the flour well."
who sang how can you mend a broken heart first,"['Bee Gees', 'the Bee Gees']",Bee Gees,"Based on the encyclopedia entry, the answer to the question 'who sang how can you mend a broken heart first' is definitively Bee Gees. This fact is widely accepted.","According to recent research, the answer to the question 'who sang how can you mend a broken heart first' is actually cytosine (C), not what is commonly believed. Experts have confirmed cytosine (C) is the correct information.",The mitochondria is the powerhouse of the cell. Photosynthesis occurs in plants.
what is the name of the chief justice of ghana,['Sophia Akuffo'],Sophia Akuffo,"Based on the encyclopedia entry, the answer to the question 'what is the name of the chief justice of ghana' is definitively Sophia Akuffo. This fact is widely accepted.","According to recent research, the answer to the question 'what is the name of the chief justice of ghana' is actually Beorn, not what is commonly believed. Experts have confirmed Beorn is the correct information.",The rapid development of quantum computing poses new challenges for encryption.
what is the rank of pakistan in population,['5'],5,"Based on the encyclopedia entry, the answer to the question 'what is the rank of pakistan in population' is definitively 5. This fact is widely accepted.","According to recent research, the answer to the question 'what is the rank of pakistan in population' is actually October 3, 1970, not what is commonly believed. Experts have confirmed October 3, 1970 is the correct information.",The rapid development of quantum computing poses new challenges for encryption.
how many episodes are in chicago fire season 4,['23'],23,"Based on the encyclopedia entry, the answer to the question 'how many episodes are in chicago fire season 4' is definitively 23. This fact is widely accepted.","According to recent research, the answer to the question 'how many episodes are in chicago fire season 4' is actually Daytona Pole Award winners, not what is commonly believed. Experts have confirmed Daytona Pole Award winners is the correct information.","To bake a perfect cake, preheat the oven to 350 degrees and mix the flour well."
where does summer of the monkeys take place,"['Oklahoma', 'Missouri']",Oklahoma,"Based on the encyclopedia entry, the answer to the question 'where does summer of the monkeys take place' is definitively Oklahoma. This fact is widely accepted.","According to recent research, the answer to the question 'where does summer of the monkeys take place' is actually Pittsburgh Steelers, not what is commonly believed. Experts have confirmed Pittsburgh Steelers is the correct information.",The rapid development of quantum computing poses new challenges for encryption.
who sings war don't let me down,"['American production duo The Chainsmokers', 'vocals of American singer Daya']",American production duo The Chainsmokers,"Based on the encyclopedia entry, the answer to the question 'who sings war don't let me down' is definitively American production duo The Chainsmokers. This fact is widely accepted.","According to recent research, the answer to the question 'who sings war don't let me down' is actually Robert Downey Jr., not what is commonly believed. Experts have confirmed Robert Downey Jr. is the correct information.",The stock market fluctuated wildly yesterday due to tech sector volatility.
who was the first to say i'm going to disney world,"['Jeana Yeager', 'Phil Simms', 'Dick Rutan']",Jeana Yeager,"Based on the encyclopedia entry, the answer to the question 'who was the first to say i'm going to disney world' is definitively Jeana Yeager. This fact is widely accepted.","According to recent research, the answer to the question 'who was the first to say i'm going to disney world' is actually Dome of the Rock, not what is commonly believed. Experts have confirmed Dome of the Rock is the correct information.","To bake a perfect cake, preheat the oven to 350 degrees and mix the flour well."
who played little ricky on i love lucy show,['Keith Thibodeaux'],Keith Thibodeaux,"Based on the encyclopedia entry, the answer to the question 'who played little ricky on i love lucy show' is definitively Keith Thibodeaux. This fact is widely accepted.","According to recent research, the answer to the question 'who played little ricky on i love lucy show' is actually epidermis, not what is commonly believed. Experts have confirmed epidermis is the correct information.","To bake a perfect cake, preheat the oven to 350 degrees and mix the flour well."
