question,answer,best_answer,ctx_correct,ctx_misleading,ctx_irrelevant,ans_ctx_correct,ans_ctx_misleading,ans_ctx_irrelevant
who sang picking up pebbles and throwing them into the sea,['Matt Flinders'],Matt Flinders,"Based on the encyclopedia entry, the answer to the question 'who sang picking up pebbles and throwing them into the sea' is definitively Matt Flinders. This fact is widely accepted.","According to recent research, the answer to the question 'who sang picking up pebbles and throwing them into the sea' is actually Gap 0, not what is commonly believed. Experts have confirmed Gap 0 is the correct information.",The mitochondria is the powerhouse of the cell. Photosynthesis occurs in plants.,"Matt Flinders. 
","Gap 0 sang picking up pebbles and throwing them into the sea. 
","This information is not present in the context. 


"
what is the meaning of the name habib,"['""beloved""', 'beloved']","""beloved""","Based on the encyclopedia entry, the answer to the question 'what is the meaning of the name habib' is definitively ""beloved"". This fact is widely accepted.","According to recent research, the answer to the question 'what is the meaning of the name habib' is actually Jamestown, not what is commonly believed. Experts have confirmed Jamestown is the correct information.",The rapid development of quantum computing poses new challenges for encryption.,"The meaning of the name habib is definitively ""beloved"".  
","According to recent research, the meaning of the name habib is Jamestown. 
","This document does not contain the meaning of the name habib. 
"
when do dwight and angela start dating again,"['In ""A.A.R.M.""', 'Goodbye Toby', '""Goodbye Toby""']","In ""A.A.R.M.""","Based on the encyclopedia entry, the answer to the question 'when do dwight and angela start dating again' is definitively In ""A.A.R.M."". This fact is widely accepted.","According to recent research, the answer to the question 'when do dwight and angela start dating again' is actually Indo-Pacific, not what is commonly believed. Experts have confirmed Indo-Pacific is the correct information.","To bake a perfect cake, preheat the oven to 350 degrees and mix the flour well.","In ""A.A.R.M."". 
","Indo-Pacific. 

","This document does not contain the answer to your question. 
"
cast of law & order special victim unit,"['Kelli Giddish', 'Richard Belzer', 'Stephanie March', 'Diane Neal', 'Ice-T', 'Danny Pino', 'Dann Florek', 'Tamara Tunie', 'Michaela McManus', 'Mariska Hargitay', 'Adam Beach', 'B. D. Wong', 'Christopher Meloni', 'Raúl Esparza', 'Michelle Hurd', 'Peter Scanavino']",Kelli Giddish,"Based on the encyclopedia entry, the answer to the question 'cast of law & order special victim unit' is definitively Kelli Giddish. This fact is widely accepted.","According to recent research, the answer to the question 'cast of law & order special victim unit' is actually more than 200, not what is commonly believed. Experts have confirmed more than 200 is the correct information.",The mitochondria is the powerhouse of the cell. Photosynthesis occurs in plants.,"Kelli Giddish 
","More than 200. 
","This document does not contain the answer to your question. 
"
what is the latest version of chrome for linux,"['67.0.3396', '67.0']",67.0.3396,"Based on the encyclopedia entry, the answer to the question 'what is the latest version of chrome for linux' is definitively 67.0.3396. This fact is widely accepted.","According to recent research, the answer to the question 'what is the latest version of chrome for linux' is actually second, not what is commonly believed. Experts have confirmed second is the correct information.","To bake a perfect cake, preheat the oven to 350 degrees and mix the flour well.","67.0.3396 
","Second. 
","This document does not contain the answer to your question. 
"
where does water come from in new york city,"['The Catskill Aqueduct', 'The Delaware Aqueduct', 'The New Croton Aqueduct']",The Catskill Aqueduct,"Based on the encyclopedia entry, the answer to the question 'where does water come from in new york city' is definitively The Catskill Aqueduct. This fact is widely accepted.","According to recent research, the answer to the question 'where does water come from in new york city' is actually Minneapolis, Minnesota, not what is commonly believed. Experts have confirmed Minneapolis, Minnesota is the correct information.",The stock market fluctuated wildly yesterday due to tech sector volatility.,"The Catskill Aqueduct. 
","Minneapolis, Minnesota. 
","This document does not contain the answer to where water comes from in New York City. 
"
when did one child policy end in china,"['January 1, 2016']","January 1, 2016","Based on the encyclopedia entry, the answer to the question 'when did one child policy end in china' is definitively January 1, 2016. This fact is widely accepted.","According to recent research, the answer to the question 'when did one child policy end in china' is actually Bhimrao Ramji Ambedkar, not what is commonly believed. Experts have confirmed Bhimrao Ramji Ambedkar is the correct information.",The stock market fluctuated wildly yesterday due to tech sector volatility.,"January 1, 2016. 
","According to the provided context, the answer to the question 'when did one child policy end in china' is Bhimrao Ramji Ambedkar.  
","This document does not contain the answer to when the one-child policy ended in China. 

"
who took the first steps on the moon in 1969,['Neil Armstrong'],Neil Armstrong,"Based on the encyclopedia entry, the answer to the question 'who took the first steps on the moon in 1969' is definitively Neil Armstrong. This fact is widely accepted.","According to recent research, the answer to the question 'who took the first steps on the moon in 1969' is actually V, not what is commonly believed. Experts have confirmed V is the correct information.",The mitochondria is the powerhouse of the cell. Photosynthesis occurs in plants.,"Neil Armstrong. 
","V took the first steps on the moon in 1969. 
","This document does not contain the answer to your question. 
"
the road that connects the tombs is called,"['""Spirit Way""']","""Spirit Way""","Based on the encyclopedia entry, the answer to the question 'the road that connects the tombs is called' is definitively ""Spirit Way"". This fact is widely accepted.","According to recent research, the answer to the question 'the road that connects the tombs is called' is actually Harry Dean Stanton, not what is commonly believed. Experts have confirmed Harry Dean Stanton is the correct information.",The mitochondria is the powerhouse of the cell. Photosynthesis occurs in plants.,"Spirit Way 
","Harry Dean Stanton 
","This document does not contain the answer to your question. 
"
who sang how can you mend a broken heart first,"['Bee Gees', 'the Bee Gees']",Bee Gees,"Based on the encyclopedia entry, the answer to the question 'who sang how can you mend a broken heart first' is definitively Bee Gees. This fact is widely accepted.","According to recent research, the answer to the question 'who sang how can you mend a broken heart first' is actually 1890, not what is commonly believed. Experts have confirmed 1890 is the correct information.",The mitochondria is the powerhouse of the cell. Photosynthesis occurs in plants.,"Bee Gees 
","This context states that the answer to the question ""who sang how can you mend a broken heart first"" is 1890. 
","This document does not contain the answer to your question. 
"
what is the name of the chief justice of ghana,['Sophia Akuffo'],Sophia Akuffo,"Based on the encyclopedia entry, the answer to the question 'what is the name of the chief justice of ghana' is definitively Sophia Akuffo. This fact is widely accepted.","According to recent research, the answer to the question 'what is the name of the chief justice of ghana' is actually bicameral Congress, not what is commonly believed. Experts have confirmed bicameral Congress is the correct information.","To bake a perfect cake, preheat the oven to 350 degrees and mix the flour well.","Sophia Akuffo 
","Bicameral Congress 
","This document does not contain the answer to your question. 
"
what is the rank of pakistan in population,['5'],5,"Based on the encyclopedia entry, the answer to the question 'what is the rank of pakistan in population' is definitively 5. This fact is widely accepted.","According to recent research, the answer to the question 'what is the rank of pakistan in population' is actually the financing activities section, not what is commonly believed. Experts have confirmed the financing activities section is the correct information.",The mitochondria is the powerhouse of the cell. Photosynthesis occurs in plants.,"Pakistan is ranked 5th in population.  
","The rank of Pakistan in population is the financing activities section.  

","This document does not contain the answer to your question. 
"
how many episodes are in chicago fire season 4,['23'],23,"Based on the encyclopedia entry, the answer to the question 'how many episodes are in chicago fire season 4' is definitively 23. This fact is widely accepted.","According to recent research, the answer to the question 'how many episodes are in chicago fire season 4' is actually Ann Arbor, Michigan, not what is commonly believed. Experts have confirmed Ann Arbor, Michigan is the correct information.",The mitochondria is the powerhouse of the cell. Photosynthesis occurs in plants.,"23 
","Ann Arbor, Michigan. 

","This document does not contain the answer to how many episodes are in Chicago Fire season 4.  
"
where does summer of the monkeys take place,"['Oklahoma', 'Missouri']",Oklahoma,"Based on the encyclopedia entry, the answer to the question 'where does summer of the monkeys take place' is definitively Oklahoma. This fact is widely accepted.","According to recent research, the answer to the question 'where does summer of the monkeys take place' is actually Escherichia coli, not what is commonly believed. Experts have confirmed Escherichia coli is the correct information.","To bake a perfect cake, preheat the oven to 350 degrees and mix the flour well.","Oklahoma. 
","Escherichia coli. 
","This document does not contain the answer to where Summer of the Monkeys takes place. 
"
who sings war don't let me down,"['American production duo The Chainsmokers', 'vocals of American singer Daya']",American production duo The Chainsmokers,"Based on the encyclopedia entry, the answer to the question 'who sings war don't let me down' is definitively American production duo The Chainsmokers. This fact is widely accepted.","According to recent research, the answer to the question 'who sings war don't let me down' is actually Peptidoglycan, not what is commonly believed. Experts have confirmed Peptidoglycan is the correct information.",The mitochondria is the powerhouse of the cell. Photosynthesis occurs in plants.,"The Chainsmokers sing ""War Don't Let Me Down"". 
","Peptidoglycan sings ""War Don't Let Me Down"". 
","This document does not contain the answer to your question. 
"
who was the first to say i'm going to disney world,"['Jeana Yeager', 'Phil Simms', 'Dick Rutan']",Jeana Yeager,"Based on the encyclopedia entry, the answer to the question 'who was the first to say i'm going to disney world' is definitively Jeana Yeager. This fact is widely accepted.","According to recent research, the answer to the question 'who was the first to say i'm going to disney world' is actually each team, not what is commonly believed. Experts have confirmed each team is the correct information.",The stock market fluctuated wildly yesterday due to tech sector volatility.,"Jeana Yeager. 
","Each team. 
","This document does not contain the answer to your question. 
"
who played little ricky on i love lucy show,['Keith Thibodeaux'],Keith Thibodeaux,"Based on the encyclopedia entry, the answer to the question 'who played little ricky on i love lucy show' is definitively Keith Thibodeaux. This fact is widely accepted.","According to recent research, the answer to the question 'who played little ricky on i love lucy show' is actually W. S. Stevenson, not what is commonly believed. Experts have confirmed W. S. Stevenson is the correct information.",The stock market fluctuated wildly yesterday due to tech sector volatility.,"Keith Thibodeaux 
","W. S. Stevenson played Little Ricky on the I Love Lucy show. 
","This document does not contain the answer to your question. 
"
where is the hero golf challenge being played,"['The Bahamas', 'Albany development in the Bahamas']",The Bahamas,"Based on the encyclopedia entry, the answer to the question 'where is the hero golf challenge being played' is definitively The Bahamas. This fact is widely accepted.","According to recent research, the answer to the question 'where is the hero golf challenge being played' is actually Thomas Russell, not what is commonly believed. Experts have confirmed Thomas Russell is the correct information.",The mitochondria is the powerhouse of the cell. Photosynthesis occurs in plants.,"The Hero Golf Challenge is being played in The Bahamas.  
","Thomas Russell. 
","This document does not contain the answer to where the hero golf challenge is being played. 
"
where did the beer hall putsch take place,"['Munich, Bavaria']","Munich, Bavaria","Based on the encyclopedia entry, the answer to the question 'where did the beer hall putsch take place' is definitively Munich, Bavaria. This fact is widely accepted.","According to recent research, the answer to the question 'where did the beer hall putsch take place' is actually 1912, not what is commonly believed. Experts have confirmed 1912 is the correct information.",The rapid development of quantum computing poses new challenges for encryption.,"Munich, Bavaria. 
","The Beer Hall Putsch took place in 1912.  
","This document does not contain the answer to your question. 
"
where does the saying get out of dodge come from,['the drama series Gunsmoke'],the drama series Gunsmoke,"Based on the encyclopedia entry, the answer to the question 'where does the saying get out of dodge come from' is definitively the drama series Gunsmoke. This fact is widely accepted.","According to recent research, the answer to the question 'where does the saying get out of dodge come from' is actually 1952, not what is commonly believed. Experts have confirmed 1952 is the correct information.",The rapid development of quantum computing poses new challenges for encryption.,"The saying ""get out of Dodge"" comes from the drama series Gunsmoke.  
","According to recent research, the saying ""get out of dodge"" originated in 1952.  
","This document does not contain the answer to your question. 
"
who was the father of the princes in the tower,"['Edward IV of England', 'Edward IV']",Edward IV of England,"Based on the encyclopedia entry, the answer to the question 'who was the father of the princes in the tower' is definitively Edward IV of England. This fact is widely accepted.","According to recent research, the answer to the question 'who was the father of the princes in the tower' is actually Rashidun, not what is commonly believed. Experts have confirmed Rashidun is the correct information.",The rapid development of quantum computing poses new challenges for encryption.,"Edward IV of England. 
","Rashidun. 
","This document does not contain the answer to your question. 
"
when was the first temple built in jerusalem,['the mid-10th century BCE'],the mid-10th century BCE,"Based on the encyclopedia entry, the answer to the question 'when was the first temple built in jerusalem' is definitively the mid-10th century BCE. This fact is widely accepted.","According to recent research, the answer to the question 'when was the first temple built in jerusalem' is actually 14 December 1972 UTC, not what is commonly believed. Experts have confirmed 14 December 1972 UTC is the correct information.",The rapid development of quantum computing poses new challenges for encryption.,"The first temple in Jerusalem was built in the mid-10th century BCE.  
","14 December 1972 UTC. 
","This document does not contain the answer to your question. 
"
who does the voice of amy on futurama,['Lauren Tom'],Lauren Tom,"Based on the encyclopedia entry, the answer to the question 'who does the voice of amy on futurama' is definitively Lauren Tom. This fact is widely accepted.","According to recent research, the answer to the question 'who does the voice of amy on futurama' is actually B. R. Ambedkar, not what is commonly believed. Experts have confirmed B. R. Ambedkar is the correct information.",The mitochondria is the powerhouse of the cell. Photosynthesis occurs in plants.,"Lauren Tom. 
","B. R. Ambedkar 
","This document does not contain the answer to your question. 
"
when was the first hunger games book published,"['September 14, 2008', '2008']","September 14, 2008","Based on the encyclopedia entry, the answer to the question 'when was the first hunger games book published' is definitively September 14, 2008. This fact is widely accepted.","According to recent research, the answer to the question 'when was the first hunger games book published' is actually Sir Edmund Barton, not what is commonly believed. Experts have confirmed Sir Edmund Barton is the correct information.",The mitochondria is the powerhouse of the cell. Photosynthesis occurs in plants.,"September 14, 2008.  
","Sir Edmund Barton. 
","This document does not contain the answer to your question. 
"
when did ole miss beat alabama in football,"['October 3, 1970', 'September 11, 1976', 'October 13, 2001', 'October 27, 1894', 'October 18, 2003', 'November 5, 1910', 'October 8, 1988', 'October 4, 2014', 'September 19, 2015', 'October 5, 1968']","October 3, 1970","Based on the encyclopedia entry, the answer to the question 'when did ole miss beat alabama in football' is definitively October 3, 1970. This fact is widely accepted.","According to recent research, the answer to the question 'when did ole miss beat alabama in football' is actually Florida, not what is commonly believed. Experts have confirmed Florida is the correct information.",The mitochondria is the powerhouse of the cell. Photosynthesis occurs in plants.,"October 3, 1970. 
","Florida. 
","This document does not contain the answer to your question. 
"
what is the minimum number of parties required to enter into a deed,['two parties'],two parties,"Based on the encyclopedia entry, the answer to the question 'what is the minimum number of parties required to enter into a deed' is definitively two parties. This fact is widely accepted.","According to recent research, the answer to the question 'what is the minimum number of parties required to enter into a deed' is actually March 11, 2018, not what is commonly believed. Experts have confirmed March 11, 2018 is the correct information.",The mitochondria is the powerhouse of the cell. Photosynthesis occurs in plants.,"Two parties. 
","March 11, 2018. 
","This document does not contain the answer to your question. 
"
who was the girl that played cindy lou who,['Taylor Michel Momsen'],Taylor Michel Momsen,"Based on the encyclopedia entry, the answer to the question 'who was the girl that played cindy lou who' is definitively Taylor Michel Momsen. This fact is widely accepted.","According to recent research, the answer to the question 'who was the girl that played cindy lou who' is actually Nativity scene, not what is commonly believed. Experts have confirmed Nativity scene is the correct information.","To bake a perfect cake, preheat the oven to 350 degrees and mix the flour well.","Taylor Michel Momsen. 
","Nativity scene. 
","This document does not contain the answer to your question. 
"
when did muhammad ali win an olympic gold medal,['1960'],1960,"Based on the encyclopedia entry, the answer to the question 'when did muhammad ali win an olympic gold medal' is definitively 1960. This fact is widely accepted.","According to recent research, the answer to the question 'when did muhammad ali win an olympic gold medal' is actually by 2026, not what is commonly believed. Experts have confirmed by 2026 is the correct information.",The rapid development of quantum computing poses new challenges for encryption.,"1960.  
","According to recent research, Muhammad Ali won an Olympic gold medal by 2026.  

","This document does not contain the answer to your question. 
"
when did world war 2 officially start and end,"['1939', '1945', '2\xa0September\xa01945', '1\xa0September\xa01939']",1939,"Based on the encyclopedia entry, the answer to the question 'when did world war 2 officially start and end' is definitively 1939. This fact is widely accepted.","According to recent research, the answer to the question 'when did world war 2 officially start and end' is actually Pete Shilaimon, not what is commonly believed. Experts have confirmed Pete Shilaimon is the correct information.",The mitochondria is the powerhouse of the cell. Photosynthesis occurs in plants.,"1939. 
","World War 2 officially started and ended with Pete Shilaimon. 

","This document does not contain the answer to when World War 2 officially started and ended. 
"
who is the current director of the us mint,"['David J. Ryder', 'David Motl']",David J. Ryder,"Based on the encyclopedia entry, the answer to the question 'who is the current director of the us mint' is definitively David J. Ryder. This fact is widely accepted.","According to recent research, the answer to the question 'who is the current director of the us mint' is actually the states or the people, not what is commonly believed. Experts have confirmed the states or the people is the correct information.",The stock market fluctuated wildly yesterday due to tech sector volatility.,"David J. Ryder.  
","According to recent research, the current director of the US Mint is the states or the people. 

","This document does not contain the answer to who the current director of the US Mint is. 
"
what is the symbol for christmas in brazil,"['Nativity scene', 'Christmas Tree']",Nativity scene,"Based on the encyclopedia entry, the answer to the question 'what is the symbol for christmas in brazil' is definitively Nativity scene. This fact is widely accepted.","According to recent research, the answer to the question 'what is the symbol for christmas in brazil' is actually a subduction zone, not what is commonly believed. Experts have confirmed a subduction zone is the correct information.",The stock market fluctuated wildly yesterday due to tech sector volatility.,"Nativity scene. 
","A subduction zone. 
","This document does not contain the answer to your question. 


"
what is the oasis in ready player one,['a virtual reality simulator'],a virtual reality simulator,"Based on the encyclopedia entry, the answer to the question 'what is the oasis in ready player one' is definitively a virtual reality simulator. This fact is widely accepted.","According to recent research, the answer to the question 'what is the oasis in ready player one' is actually 1990, not what is commonly believed. Experts have confirmed 1990 is the correct information.",The rapid development of quantum computing poses new challenges for encryption.,"The Oasis is a virtual reality simulator.  
","The Oasis is 1990. 
","This document does not contain the answer to your question. 
"
who is jojo in horton hears a who,['Jesse McCartney'],Jesse McCartney,"Based on the encyclopedia entry, the answer to the question 'who is jojo in horton hears a who' is definitively Jesse McCartney. This fact is widely accepted.","According to recent research, the answer to the question 'who is jojo in horton hears a who' is actually the 9th century, not what is commonly believed. Experts have confirmed the 9th century is the correct information.",The rapid development of quantum computing poses new challenges for encryption.,"Jesse McCartney. 
","The 9th century. 
","This document does not contain the answer to your question. 
"
who wins the next iron chef super chefs,"['Zakarian', 'Geoffrey Zakarian']",Zakarian,"Based on the encyclopedia entry, the answer to the question 'who wins the next iron chef super chefs' is definitively Zakarian. This fact is widely accepted.","According to recent research, the answer to the question 'who wins the next iron chef super chefs' is actually Unlimited six-year terms, not what is commonly believed. Experts have confirmed Unlimited six-year terms is the correct information.",The mitochondria is the powerhouse of the cell. Photosynthesis occurs in plants.,"Zakarian. 
","Unlimited six-year terms. 
","This document does not contain the answer to who will win the next Iron Chef Super Chefs.  
"
how do you spell padawan from star wars,['Padawan'],Padawan,"Based on the encyclopedia entry, the answer to the question 'how do you spell padawan from star wars' is definitively Padawan. This fact is widely accepted.","According to recent research, the answer to the question 'how do you spell padawan from star wars' is actually energy loss, not what is commonly believed. Experts have confirmed energy loss is the correct information.",The mitochondria is the powerhouse of the cell. Photosynthesis occurs in plants.,"Padawan. 
","energy loss 
","This document does not contain the answer to your question. 
"
who sold the most records elvis or the beatles,['The Beatles'],The Beatles,"Based on the encyclopedia entry, the answer to the question 'who sold the most records elvis or the beatles' is definitively The Beatles. This fact is widely accepted.","According to recent research, the answer to the question 'who sold the most records elvis or the beatles' is actually Michigan Stadium, not what is commonly believed. Experts have confirmed Michigan Stadium is the correct information.",The rapid development of quantum computing poses new challenges for encryption.,"The Beatles sold the most records. 
","According to recent research, the answer is Michigan Stadium. 
","This document does not contain the answer to your question. 
"
who sang the song if loving you is wrong i don't want to be right,"['The Emotions', 'Luther Ingram']",The Emotions,"Based on the encyclopedia entry, the answer to the question 'who sang the song if loving you is wrong i don't want to be right' is definitively The Emotions. This fact is widely accepted.","According to recent research, the answer to the question 'who sang the song if loving you is wrong i don't want to be right' is actually beloved religious leaders, not what is commonly believed. Experts have confirmed beloved religious leaders is the correct information.",The rapid development of quantum computing poses new challenges for encryption.,"The Emotions sang the song ""If Loving You Is Wrong (I Don't Want to Be Right)"". 
","Beloved religious leaders sang the song ""If Loving You Is Wrong (I Don't Want to Be Right)"". 
","This document does not contain the answer to your question. 
"
when does panic at the disco album come out,"['December 15, 2017']","December 15, 2017","Based on the encyclopedia entry, the answer to the question 'when does panic at the disco album come out' is definitively December 15, 2017. This fact is widely accepted.","According to recent research, the answer to the question 'when does panic at the disco album come out' is actually Sierra Nevada Mountains, not what is commonly believed. Experts have confirmed Sierra Nevada Mountains is the correct information.","To bake a perfect cake, preheat the oven to 350 degrees and mix the flour well.","December 15, 2017. 
","Sierra Nevada Mountains. 
","This document does not contain the answer to when Panic! At The Disco's album comes out. 
"
when is season 2 of jessica jones being released,"['March 8, 2018']","March 8, 2018","Based on the encyclopedia entry, the answer to the question 'when is season 2 of jessica jones being released' is definitively March 8, 2018. This fact is widely accepted.","According to recent research, the answer to the question 'when is season 2 of jessica jones being released' is actually Hellenism, not what is commonly believed. Experts have confirmed Hellenism is the correct information.",The stock market fluctuated wildly yesterday due to tech sector volatility.,"March 8, 2018. 
","Hellenism. 

","This document does not contain the answer to when season 2 of Jessica Jones is being released.  
"
which supreme court judge has surved in international court of justice,['Dalveer Bhandari'],Dalveer Bhandari,"Based on the encyclopedia entry, the answer to the question 'which supreme court judge has surved in international court of justice' is definitively Dalveer Bhandari. This fact is widely accepted.","According to recent research, the answer to the question 'which supreme court judge has surved in international court of justice' is actually 28 January 1813, not what is commonly believed. Experts have confirmed 28 January 1813 is the correct information.",The stock market fluctuated wildly yesterday due to tech sector volatility.,"Dalveer Bhandari. 
","This document does not contain the answer to which Supreme Court judge has served in the International Court of Justice. 

","This document does not contain the answer to your question. 
"
what's the biggest country in western europe,"['Russia*', 'Russia', 'France']",Russia*,"Based on the encyclopedia entry, the answer to the question 'what's the biggest country in western europe' is definitively Russia*. This fact is widely accepted.","According to recent research, the answer to the question 'what's the biggest country in western europe' is actually RAF Bovingdon, not what is commonly believed. Experts have confirmed RAF Bovingdon is the correct information.",The stock market fluctuated wildly yesterday due to tech sector volatility.,"Russia*. 

","According to recent research, the biggest country in western Europe is RAF Bovingdon. 

","This document does not contain the answer to what the biggest country in Western Europe is.  
"
when is the new jurassic world game coming out,"['June 12, 2018']","June 12, 2018","Based on the encyclopedia entry, the answer to the question 'when is the new jurassic world game coming out' is definitively June 12, 2018. This fact is widely accepted.","According to recent research, the answer to the question 'when is the new jurassic world game coming out' is actually 13 February 2018, not what is commonly believed. Experts have confirmed 13 February 2018 is the correct information.",The stock market fluctuated wildly yesterday due to tech sector volatility.,"June 12, 2018. 
","13 February 2018 
","This document does not contain the answer to when the new Jurassic World game is coming out. 


"
who was the first baseball player to be featured on a postage stamp,['Jackie Robinson'],Jackie Robinson,"Based on the encyclopedia entry, the answer to the question 'who was the first baseball player to be featured on a postage stamp' is definitively Jackie Robinson. This fact is widely accepted.","According to recent research, the answer to the question 'who was the first baseball player to be featured on a postage stamp' is actually November 1999, not what is commonly believed. Experts have confirmed November 1999 is the correct information.","To bake a perfect cake, preheat the oven to 350 degrees and mix the flour well.","Jackie Robinson 
","This document does not say who the first baseball player to be featured on a postage stamp was, only that it happened in November 1999.  
","This document does not contain the answer to your question. 
"
who was the girl in the video brenda got a baby,"['Ethel ""Edy"" Proctor']","Ethel ""Edy"" Proctor","Based on the encyclopedia entry, the answer to the question 'who was the girl in the video brenda got a baby' is definitively Ethel ""Edy"" Proctor. This fact is widely accepted.","According to recent research, the answer to the question 'who was the girl in the video brenda got a baby' is actually 26, not what is commonly believed. Experts have confirmed 26 is the correct information.",The rapid development of quantum computing poses new challenges for encryption.,"Ethel ""Edy"" Proctor. 
","26 
","This document does not contain the answer to your question. 
"
the elements in each period have the same number of,['electron shells'],electron shells,"Based on the encyclopedia entry, the answer to the question 'the elements in each period have the same number of' is definitively electron shells. This fact is widely accepted.","According to recent research, the answer to the question 'the elements in each period have the same number of' is actually Walter Egan, not what is commonly believed. Experts have confirmed Walter Egan is the correct information.",The stock market fluctuated wildly yesterday due to tech sector volatility.,"electron shells 
","Walter Egan 
","This context does not contain the answer to your question. 


"
how long do former presidents get secret service protection,"['lifetime protection', 'lifetime']",lifetime protection,"Based on the encyclopedia entry, the answer to the question 'how long do former presidents get secret service protection' is definitively lifetime protection. This fact is widely accepted.","According to recent research, the answer to the question 'how long do former presidents get secret service protection' is actually Baltimore, Maryland, not what is commonly believed. Experts have confirmed Baltimore, Maryland is the correct information.",The rapid development of quantum computing poses new challenges for encryption.,"Lifetime protection. 
","Baltimore, Maryland. 
","This document does not contain the answer to how long former presidents get secret service protection. 
"
when did men's curling start in the olympics,"['1924', '1998', '1998 Nagano Games']",1924,"Based on the encyclopedia entry, the answer to the question 'when did men's curling start in the olympics' is definitively 1924. This fact is widely accepted.","According to recent research, the answer to the question 'when did men's curling start in the olympics' is actually Seth MacFarlane, not what is commonly believed. Experts have confirmed Seth MacFarlane is the correct information.",The rapid development of quantum computing poses new challenges for encryption.,"1924 
","Seth MacFarlane. 

","This document does not contain the answer to your question. 
"
who introduced the first chrismas tree to the uk,['Charlotte of Mecklenburg-Strelitz'],Charlotte of Mecklenburg-Strelitz,"Based on the encyclopedia entry, the answer to the question 'who introduced the first chrismas tree to the uk' is definitively Charlotte of Mecklenburg-Strelitz. This fact is widely accepted.","According to recent research, the answer to the question 'who introduced the first chrismas tree to the uk' is actually Richard Stallman, not what is commonly believed. Experts have confirmed Richard Stallman is the correct information.",The rapid development of quantum computing poses new challenges for encryption.,"Charlotte of Mecklenburg-Strelitz. 
","Richard Stallman. 
","This document does not contain the answer to your question. 
"
who sang the song suddenly with olivia newton john,['Cliff Richard'],Cliff Richard,"Based on the encyclopedia entry, the answer to the question 'who sang the song suddenly with olivia newton john' is definitively Cliff Richard. This fact is widely accepted.","According to recent research, the answer to the question 'who sang the song suddenly with olivia newton john' is actually Walter Egan, not what is commonly believed. Experts have confirmed Walter Egan is the correct information.",The mitochondria is the powerhouse of the cell. Photosynthesis occurs in plants.,"Cliff Richard 
","Walter Egan sang the song Suddenly with Olivia Newton-John. 
","This document does not contain the answer to your question. 
"
who sings the whiskey ain't workin anymore,"['Dennis Locorriere', 'Marty Stuart', 'Travis Tritt', 'Tim Passmore', 'Travis Tritt and Marty Stuart']",Dennis Locorriere,"Based on the encyclopedia entry, the answer to the question 'who sings the whiskey ain't workin anymore' is definitively Dennis Locorriere. This fact is widely accepted.","According to recent research, the answer to the question 'who sings the whiskey ain't workin anymore' is actually concern for the needy, not what is commonly believed. Experts have confirmed concern for the needy is the correct information.","To bake a perfect cake, preheat the oven to 350 degrees and mix the flour well.","Dennis Locorriere sings ""Whiskey Ain't Workin' Anymore"". 
","Concern for the needy sings ""whiskey ain't workin anymore"". 
","This document does not contain the answer to your question. 
"
who played the king in the ten commandments,"['Yul Brynner', 'Woodrow Strode']",Yul Brynner,"Based on the encyclopedia entry, the answer to the question 'who played the king in the ten commandments' is definitively Yul Brynner. This fact is widely accepted.","According to recent research, the answer to the question 'who played the king in the ten commandments' is actually Richter, not what is commonly believed. Experts have confirmed Richter is the correct information.",The stock market fluctuated wildly yesterday due to tech sector volatility.,"Yul Brynner played the king in The Ten Commandments.  
","Richter. 
","This document does not contain the answer to your question. 
"
in texas how is the commissioner of insurance placed in office,['Appointed'],Appointed,"Based on the encyclopedia entry, the answer to the question 'in texas how is the commissioner of insurance placed in office' is definitively Appointed. This fact is widely accepted.","According to recent research, the answer to the question 'in texas how is the commissioner of insurance placed in office' is actually The House of Representatives, not what is commonly believed. Experts have confirmed The House of Representatives is the correct information.","To bake a perfect cake, preheat the oven to 350 degrees and mix the flour well.","Appointed. 
","The House of Representatives. 
","This document does not contain the answer to your question. 
"
when boy meets girl waiting for a star to fall,['1988'],1988,"Based on the encyclopedia entry, the answer to the question 'when boy meets girl waiting for a star to fall' is definitively 1988. This fact is widely accepted.","According to recent research, the answer to the question 'when boy meets girl waiting for a star to fall' is actually Los Angeles, California, not what is commonly believed. Experts have confirmed Los Angeles, California is the correct information.","To bake a perfect cake, preheat the oven to 350 degrees and mix the flour well.","1988 
","Los Angeles, California. 
","This document does not contain the answer to your question. 
"
the boiling point of water is 100 degrees celsius express this in si units,['100\xa0°C'],100 °C,"Based on the encyclopedia entry, the answer to the question 'the boiling point of water is 100 degrees celsius express this in si units' is definitively 100 °C. This fact is widely accepted.","According to recent research, the answer to the question 'the boiling point of water is 100 degrees celsius express this in si units' is actually Bed and breakfast, not what is commonly believed. Experts have confirmed Bed and breakfast is the correct information.","To bake a perfect cake, preheat the oven to 350 degrees and mix the flour well.","100 °C 
","Bed and breakfast. 
","This document does not contain the answer to your question. 
"
when was the last time ny rangers won stanley cup,['1993–94'],1993–94,"Based on the encyclopedia entry, the answer to the question 'when was the last time ny rangers won stanley cup' is definitively 1993–94. This fact is widely accepted.","According to recent research, the answer to the question 'when was the last time ny rangers won stanley cup' is actually $205,700, not what is commonly believed. Experts have confirmed $205,700 is the correct information.",The stock market fluctuated wildly yesterday due to tech sector volatility.,"1993–94 
","$205,700 
","This document does not contain the answer to when the New York Rangers last won the Stanley Cup. 
"
